"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"npem",117,0,0,4,0,0,0
"ccmm",118,0,0,4,0,0,0
"ldm",118,0,1,4,0,0,0
"microbvs",118,3,6,1,0.333333333333333,0.75,0.461538461538462
"medzim",118,0,0,4,0,0,0
"npem",118,0,0,4,0,0,0
"ccmm",119,0,2,4,0,0,0
"ldm",119,2,0,2,1,0.5,0.666666666666667
"hima",119,1,1,3,0.5,0.25,0.333333333333333
"microbvs",119,0,4,4,0,0,0
"medzim",119,2,1,2,0.666666666666667,0.5,0.571428571428572
"npem",119,0,0,4,0,0,0
"ccmm",120,1,1,3,0.5,0.25,0.333333333333333
"ldm",120,1,0,3,1,0.25,0.4
"hima",120,0,0,4,0,0,0
"microbvs",120,2,8,2,0.2,0.5,0.285714285714286
"medzim",120,3,3,1,0.5,0.75,0.6
"npem",120,0,0,4,0,0,0
"ccmm",121,0,2,4,0,0,0
"ldm",121,0,1,4,0,0,0
"hima",121,0,1,4,0,0,0
"microbvs",121,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",121,1,3,3,0.25,0.25,0.25
"npem",121,0,0,4,0,0,0
"ccmm",122,2,2,2,0.5,0.5,0.5
"ldm",122,0,1,4,0,0,0
"hima",122,0,0,4,0,0,0
"microbvs",122,1,3,3,0.25,0.25,0.25
"medzim",122,0,0,4,0,0,0
"npem",122,0,0,4,0,0,0
"ccmm",123,0,1,4,0,0,0
"ldm",123,1,0,3,1,0.25,0.4
"microbvs",123,0,4,4,0,0,0
"medzim",123,0,1,4,0,0,0
"npem",123,0,0,4,0,0,0
"ccmm",124,0,2,4,0,0,0
"ldm",124,2,2,2,0.5,0.5,0.5
"hima",124,0,0,4,0,0,0
"microbvs",124,2,8,2,0.2,0.5,0.285714285714286
"medzim",124,1,0,3,1,0.25,0.4
"npem",124,0,0,4,0,0,0
"ccmm",125,1,1,3,0.5,0.25,0.333333333333333
"ldm",125,0,1,4,0,0,0
"hima",125,0,0,4,0,0,0
"microbvs",125,1,4,3,0.2,0.25,0.222222222222222
"medzim",125,1,1,3,0.5,0.25,0.333333333333333
"npem",125,0,0,4,0,0,0
"ccmm",126,0,2,4,0,0,0
"ldm",126,0,2,4,0,0,0
